Clue,Answer,Type,Requires synonym?,Definition,Explanation,Source
Proposed name I don't change (9),NOMINATED,anagram,No,proposed,“change” indicates anagram of “name i don’t”,https://times-xwd-times.livejournal.com/1492236.html
Tough guys breaking ribs? Sure! (8),BRUISERS,anagram,No,tough guys,”breaking” indicates anagram of “ribs sure”,https://times-xwd-times.livejournal.com/1492236.html
File in woodland getting lost (8),DOWNLOAD,anagram,No,file,“getting lost” indicates anagram of “woodland”,https://times-xwd-times.livejournal.com/2429465.html
Utopian novel italicised (10),IDEALISTIC,anagram,No,utopian,“novel” indicates anagram of “italicised”,https://times-xwd-times.livejournal.com/2429465.html
"Agreed toe is deformed somewhat (2,1,6)","TO A DEGREE ",anagram,No,somewhat,“deformed” indicates anagram of “agreed toe”,https://times-xwd-times.livejournal.com/1942956.html
Sterile unit fenced off (10),UNINFECTED,anagram,No,sterile,“off” indicates anagram of “unit fenced”,https://times-xwd-times.livejournal.com/1594988.html
"Tricky problem, brewing artisan beer (5-6)","BRAIN-TEASER ",anagram,No,tricky problem,“brewing” indicates anagram of “artisan beer”,https://times-xwd-times.livejournal.com/1875581.html
Promise to fix toilet pan (9),POTENTIAL,anagram,No,promise,“to fix” indicates anagram of “toilet pan”,https://times-xwd-times.livejournal.com/1594988.html
Smear pan to cook cheese (8),PARMESAN,anagram,No,cheese,“to cook” indicates anagram of “smear pan”,https://times-xwd-times.livejournal.com/1875581.html
Sibling ignoring the second disturbance (6),BOTHER,assemblage,Yes,disturbance,Ignore the second letter in “brother” (sibling) to get “bother”,https://times-xwd-times.livejournal.com/1492236.html
I'm taken aback by anger? That's an illusion (6),MIRAGE,assemblage,Yes,illusion,"MIRAGE - reversal (taken aback) of I'M, + RAGE (anger)",https://times-xwd-times.livejournal.com/1492236.html
"Leave on Christmas morning, possibly with papa (6)",DECAMP,assemblage,No,leave,DECAMP - DEC AM P (code word for the letter P),https://times-xwd-times.livejournal.com/2429465.html
Magic transport needs fourth of combustion chambers to run like clockwork (10),BROOMSTICK,assemblage,Yes,magic transport,"Combine “b” for “fourth of combustion”, “rooms” for “chambers” and “tick” for “to run like clockwork”",https://times-xwd-times.livejournal.com/1594988.html
Refuse a black mark (7),ABSTAIN,assemblage,Yes,refuse,Combine “a” and “b” for black and “stain” - synonym for “mark”,https://times-xwd-times.livejournal.com/2498664.html
It may get endless representation (5),IMAGE,assemblage,No,representation,“endless” means take everything except last letters of “it may get”,https://times-xwd-times.livejournal.com/1942956.html
Chap gets older but copes (7),MANAGES,assemblage,Yes,copes,Combine “man” for “chap” and “ages” for “gets older”,https://times-xwd-times.livejournal.com/1875581.html
Sound beginning when hummingbird is rapidly returning (5),WHIRR,assemblage,No,sound,“beginning” means take the first letters in “when hummingbird is rapidly returning”,https://times-xwd-times.livejournal.com/2498664.html
"Loco caught by travelling icon, always on the move (7)",NOMADIC,container,No,always on the move,NOMADIC - MAD in ICON*,https://times-xwd-times.livejournal.com/2429465.html
Everyone in short dash for US city (6),DALLAS,container,Yes,US city,Put “all” for “everyone” inside “das” for “short dash”,https://times-xwd-times.livejournal.com/1875581.html
European power limited by genuine revocation (6),REPEAL,container,Yes,revocation,Insert “EP” for “European power” into “real” for “genuine”,https://times-xwd-times.livejournal.com/2498664.html
"Cursed, being literally last in bed (7)",BLASTED,container,No,cursed,Put “last” inside “bed”,https://times-xwd-times.livejournal.com/1842433.html
Trap surrounded by enchantment is irresistible (8),MAGNETIC,container,Yes,irresistable,Put “net” for “trap” inside “magic” for “enchantment”,https://times-xwd-times.livejournal.com/2498664.html
Standard offer of a choice of ends for Nottingham (8),NORM,container,Yes,standard,Put “or” for “choice” between the ends of “nottingham” - “n” and “m”,https://times-xwd-times.livejournal.com/1842433.html
Cuckoo making beastly noise (7),BARKING,double definition,No,cuckoo making / beastly noise,,https://times-xwd-times.livejournal.com/2429465.html
Encouraging sign from sleepy land? (3),NOD,double definition,No,encouraging sign / sleepy land,Double definition: “encouraging sign” meaning nod of approval and “sleepy land” - a land of nod,https://times-xwd-times.livejournal.com/1383368.html
Back in a short while (6),SECOND,double definition,No,back / a short while,Double definition: “back” and “a short while”,https://times-xwd-times.livejournal.com/1512448.html
Wear out an important part of a car (4),TIRE,double definition,No,wear out / important part of a car,Double definition: “wear out” and “an important part of a car”,https://www.newyorker.com/puzzles-and-games-dept/cryptic-crossword/reintroducing-the-new-yorkers-cryptic-crossword
Stipulations for academic periods (5),TERMS,double definition,No,stipulations / academic periods,Double definition: “stipulations” and “academic periods”,https://times-xwd-times.livejournal.com/2465504.html
My virtue (8),GOODNESS,double definition,No,virtue,Double definition: the first an exclamation of surprise “my goodness” and “virtue” is a synonym,https://times-xwd-times.livejournal.com/2465504.html
Sprite seen in hotel foyer (3),ELF,hidden word,No,sprite,ELF - hidden (seen) in hotEL Foyer,https://times-xwd-times.livejournal.com/1492236.html
Error concealed by city police (4),TYPO,hidden word,No,error,hidden word in “ciTY POlice”,https://www.newyorker.com/puzzles-and-games-dept/cryptic-crossword/reintroducing-the-new-yorkers-cryptic-crossword
"In Berlin, dainty girl (5)",LINDA,hidden word,No,girl,"hidden word in “BerLIN, DAinty”",https://times-xwd-times.livejournal.com/1875581.html
Singer in first ENO Rigoletto (5),TENOR,hidden word,No,singer,hidden word in “firsT ENO Rigoletto”,https://times-xwd-times.livejournal.com/1842433.html
Section of Norman arch is thrown into disorder? (9),ANARCHIST,hidden word,No,into disorder,hidden word in “NormAN ARCH IS Thrown”,https://times-xwd-times.livejournal.com/1594988.html
