Evaluation of meta-llama/Meta-Llama-3-8B-Instruct

Prompts: 
 Definition_prompt: 
You are a cryptic crosswords expert. I will give you a clue. Every clue has two parts: a definition and wordplay. Definition is a synonym of the answer. Wordplay is the rest of the clue. Please extract the wordplay type for this clue.
Here is a list of all possible wordplay types: anagram, hidden word, double definition, container, assemblage. Only output the wordplay type.
Clue: {clue}
Output: 
 Wordplay_prompt:
You are a cryptic crosswords expert. I will give you a clue. Every clue has two parts: a definition and wordplay. Definition is a synonym of the answer. Wordplay is the rest of the clue. Please extract the wordplay type for this clue.
Here is a list of all possible wordplay types: anagram, hidden word, double definition, container, assemblage. Only output the wordplay type.
Clue: {clue}
Output:

Definition Accuracy: 0.0
Wordplay Accuracy: 0.16923076923076924


Definition Responses



Wordplay Responses

Clue: Proposed name I don't change (9) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Tough guys breaking ribs? Sure! (8) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: File in woodland getting lost (8) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Utopian novel italicised (10) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Agreed toe is deformed somewhat (2,1,6) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Sterile unit fenced off (10) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Tricky problem, brewing artisan beer (5-6) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Promise to fix toilet pan (9) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Smear pan to cook cheese (8) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Sibling ignoring the second disturbance (6) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: I'm taken aback by anger? That's an illusion (6) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Leave on Christmas morning, possibly with papa (6) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Magic transport needs fourth of combustion chambers to run like clockwork (10) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Refuse a black mark (7) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: It may get endless representation (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Chap gets older but copes (7) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Sound beginning when hummingbird is rapidly returning (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Loco caught by travelling icon, always on the move (7) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Everyone in short dash for US city (6) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: European power limited by genuine revocation (6) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Cursed, being literally last in bed (7) | Wordplay: ['container'] | Response: hidden word | ❌ 
