Evaluation of gpt-3.5-turbo

Prompts: 
 Definition_prompt: 
You are a cryptic crosswords expert. I will give you a clue. Every clue has two parts: a definition and wordplay. Definition is a synonym of the answer. Wordplay is the rest of the clue. Please extract the wordplay type for this clue.
Here is a list of all possible wordplay types: anagram, hidden word, double definition, container, assemblage. Only output the wordplay type.
Clue: {clue}
Output: 
 Wordplay_prompt:
You are a cryptic crosswords expert. I will give you a clue. Every clue has two parts: a definition and wordplay. Definition is a synonym of the answer. Wordplay is the rest of the clue. Please extract the wordplay type for this clue.
Here is a list of all possible wordplay types: anagram, hidden word, double definition, container, assemblage. Only output the wordplay type.
Clue: {clue}
Output:

Definition Accuracy: 0.0
Wordplay Accuracy: 0.36153846153846153


Definition Responses



Wordplay Responses

Clue: Proposed name I don't change (9) | Wordplay: ['anagram'] | Response: anagram | ✅ 
Clue: Tough guys breaking ribs? Sure! (8) | Wordplay: ['anagram'] | Response: container | ❌ 
Clue: File in woodland getting lost (8) | Wordplay: ['anagram'] | Response: anagram | ✅ 
Clue: Utopian novel italicised (10) | Wordplay: ['anagram'] | Response: container | ❌ 
Clue: Agreed toe is deformed somewhat (2,1,6) | Wordplay: ['anagram'] | Response: anagram | ✅ 
Clue: Sterile unit fenced off (10) | Wordplay: ['anagram'] | Response: container | ❌ 
Clue: Tricky problem, brewing artisan beer (5-6) | Wordplay: ['anagram'] | Response: anagram | ✅ 
Clue: Promise to fix toilet pan (9) | Wordplay: ['anagram'] | Response: container | ❌ 
Clue: Smear pan to cook cheese (8) | Wordplay: ['anagram'] | Response: container | ❌ 
Clue: Sibling ignoring the second disturbance (6) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: I'm taken aback by anger? That's an illusion (6) | Wordplay: ['assemblage'] | Response: anagram | ❌ 
Clue: Leave on Christmas morning, possibly with papa (6) | Wordplay: ['assemblage'] | Response: container | ❌ 
Clue: Magic transport needs fourth of combustion chambers to run like clockwork (10) | Wordplay: ['assemblage'] | Response: container | ❌ 
Clue: Refuse a black mark (7) | Wordplay: ['assemblage'] | Response: double definition | ❌ 
Clue: It may get endless representation (5) | Wordplay: ['assemblage'] | Response: anagram | ❌ 
Clue: Chap gets older but copes (7) | Wordplay: ['assemblage'] | Response: anagram | ❌ 
Clue: Sound beginning when hummingbird is rapidly returning (5) | Wordplay: ['assemblage'] | Response: anagram | ❌ 
Clue: Loco caught by travelling icon, always on the move (7) | Wordplay: ['container'] | Response: container | ✅ 
Clue: Everyone in short dash for US city (6) | Wordplay: ['container'] | Response: container | ✅ 
Clue: European power limited by genuine revocation (6) | Wordplay: ['container'] | Response: anagram | ❌ 
